source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,target_class
1064149070380208256,143.54865037345,63.33313976267,0.1551,6.012,-7.86,14.024377,0.520431,RR
1066922279223207040,152.81302109375,67.60838530432,0.1862,-2.306,-11.967,14.08322,0.403845,RR
1067248146982050816,154.24205565037,68.3734929047,0.1267,-4.044,-6.11,14.693757,0.686995,RR
1067953174453929344,143.72529221336,65.44647153049,0.1358,-1.255,-6.615,15.240794,0.711554,RR
1071159174265572224,144.54490655207,69.63862562776,0.2797,-9.56,-5.198,13.530715,0.651659,RR
1071879977152913280,157.30123535197,66.81605367078,0.1642,0.112,-6.255,14.450085,0.443411,RR
1073970011318481024,163.08997743803,71.01818818785,0.1161,-7.08,-5.311,14.779635,0.551799,RR
1076460508234669056,154.51469228996,70.33956917542,0.1184,-4.196,-7.17,14.654228,0.725305,RR
1078794427822824960,170.16254749714,73.72913729321,0.129,-6.316,-6.457,14.887392,0.634469,RR
1079316764565858048,176.14119880395,74.71578700022,0.1425,-5.331,-1.947,14.975069,0.704273,RR
1079523369672670336,174.70999185711,75.52866333775,0.1249,-10.104,-5.116,14.564629,0.670354,RR
1080417547503781248,174.69058306692,76.38165281648,0.2259,-8.614,-11.195,13.544354,0.662907,RR
1080581065498778496,179.67365169113,77.43979976779,0.2699,-5.596,-9.036,13.356837,0.716465,RR
1082359491196967552,114.91242237042,57.27453715644,0.385,-6.599,-13.531,12.777657,0.4293,RR
1084472271509723520,119.54853536458,60.38237916561,0.1342,0.529,-7.83,14.835993,0.520515,RR
1090035937786801024,126.38500665008,61.63845457169,0.1254,2.846,-9.348,14.484448,0.700681,RR
1090968254926134656,127.00843493272,64.4457859436,0.1515,-0.404,-9.295,14.187605,0.538748,RR
1093345639583902592,126.10259414997,65.71737874982,0.8076,-33.616,-50.807,11.063573,0.691729,RR
1093522454797019264,127.90864175264,66.92100203611,0.1351,-0.341,-2.651,14.940383,0.662974,RR
1094115263363633408,127.13004823801,67.49642069405,0.3543,13.723,2.102,12.61078,0.672008,RR
1095469758609814400,120.483550557,67.43834603782,0.1506,1.754,-10.52,13.995415,0.408565,RR
1095471270438333568,120.01815001087,67.37927426925,0.1671,0.777,-3.223,14.334737,0.648824,RR
1096699596725403776,122.92521354939,66.99223349449,0.1902,-0.269,-9.141,14.296701,0.578424,RR
1098423218640450944,121.79895877258,70.28995345945,0.1321,0.663,-5.436,15.085876,0.618393,RR
1098599587178338048,120.21744724402,70.31758968659,0.1436,1.189,-4.042,14.758843,0.667027,RR
1100039225854908928,103.36712651402,62.66819320695,0.2197,0.638,-0.486,14.091736,0.760272,RR
1104405489608579584,98.49925586386,67.0252559128,0.3585,13.308,-6.327,12.93929,0.742579,RR
1104887797257075328,90.45253940952,66.57982217875,0.2096,4.986,-7.937,14.832559,0.767101,RR
1105181813537846784,93.82576042338,67.33549717924,0.348,18.012,-7.421,13.191122,0.826231,RR
1106821082298678784,94.77137047358,68.84293622626,0.2093,8.336,-7.91,13.564732,0.733236,RR
1108643007422797824,114.66074332463,69.34674759728,0.1958,2.834,-2.656,13.492806,0.651329,RR
1109706063367203584,107.16917558335,70.67236060013,0.134,-0.231,-9.694,14.380413,0.686404,RR
1110130990252528768,105.57555525544,72.14789654109,0.2345,3.017,-14.407,13.893309,0.776922,RR
1111129930925506688,116.05100727064,72.66784968199,0.1668,0.136,0.037,14.33315,0.569686,RR
1111846056593351168,111.86632016707,72.70335041087,1.7283,-19.524,-27.639,9.39608,0.630914,RR
1117501463369011328,139.33444461247,68.6350572465,0.137,-1.484,-7.101,14.457162,0.721298,RR
1118881350461741184,133.0628610538,70.43988484829,0.2232,0.553,-24.191,13.645816,0.655681,RR
1119590226223974144,141.28054818688,71.28035304038,0.2225,5.536,-6.203,13.431151,0.672206,RR
1122990534652358912,124.72466148993,73.09659930352,0.1754,1.639,-10.551,14.291248,0.674864,RR
1124867469720768768,128.70165740232,74.56975370205,0.1259,-1.507,-8.252,14.286436,0.635182,RR
1125032293385256064,133.74812578753,75.7296366035,0.141,-1.377,-6.082,15.041582,0.636093,RR
1125748281613829760,131.81339681082,77.21564349963,0.1284,0.0,-5.275,15.253335,0.615615,RR
1126475264957564928,156.54977652204,74.23109659647,0.1779,-1.131,-5.663,15.200978,0.751274,RR
1127192421416968576,149.96032510105,75.08271595763,0.2135,-3.995,-14.784,13.677562,0.39951,RR
1128892025875621504,177.29418812061,78.00480568292,2.8559,-23.249,-3.022,19.778181,1.330854,RR
1130548440143288960,147.20397414842,76.30700996385,0.302,-0.358,-10.193,13.066381,0.424014,RR
1133454140138001664,174.04593445655,81.29328425643,1.7444,-113.475,-82.045,9.486984,0.644341,RR
1134921885080388992,119.74531616684,72.78753315108,0.701,-1.838,-17.721,11.487339,0.347447,RR
1137462650294989696,121.91630484268,76.38019199191,0.2333,-0.957,-11.815,13.767695,0.659619,RR
1142428762063953024,118.18790507856,81.33098315252,0.9457,2.819,-1.863,11.615724,0.462352,RR
1142612178643883264,105.89082086087,81.54757374464,0.1571,2.005,-0.034,14.576333,0.670329,RR
1144808384401045248,141.06121652808,81.22456721431,0.1345,-7.608,-5.917,14.296793,0.579949,RR
1145419437987939712,122.02085565446,81.3378231854,0.129,2.06,-7.371,14.544596,0.667141,RR
1146420474605396736,157.9614210862,82.97106967409,0.127,-2.565,-8.936,14.787521,0.435351,RR
1146686728217818112,152.72407484452,83.51908302466,0.1258,-1.618,-4.631,15.067829,0.653827,RR
1146699544400152576,154.88816086249,83.60344539493,0.1892,-0.049,-7.392,14.212848,0.733561,RR
1147317298136706688,143.0826432202,83.11832975384,0.1429,-0.209,-3.262,14.669321,0.482396,RR
1147718791680093568,146.05134504396,84.29011555844,0.1745,-0.79,-3.73,15.900819,0.750654,RR
114797397716085120,41.67823944411,26.72434338536,0.6502,6.664,-78.453,11.424756,0.793077,RR
1148918530664513920,112.24953151091,83.33260171804,0.2073,2.822,0.225,14.309106,0.642857,RR
1151084568571408384,125.68115130182,86.08102396331,0.4378,3.383,-27.445,12.361023,0.619734,RR
1151955622297995264,122.83692493841,86.64982044033,0.0841,3.159,-4.58,14.70213,0.599161,RR
1153973191774682624,226.71749420338,3.10582257227,0.2075,4.262,-10.009,14.054017,0.650223,RR
1154484155444110080,223.66694512519,2.69514317936,0.3256,-11.413,-11.916,12.814072,0.57824,RR
1154484945718096000,223.67339149872,2.73910293263,0.2718,-13.386,-8.515,13.769963,0.620377,RR
1154932172072449280,224.6209696889,3.43835447981,0.2506,-4.366,-10.503,14.084148,0.692146,RR
1155173033838459136,224.97891165988,4.74048940701,0.1201,2.687,-13.477,14.486543,0.451424,RR
1155456089363098240,227.07202567689,3.06187659265,0.1548,-8.804,-4.862,14.17532,0.728935,RR
1156295596554867584,229.19395444448,5.83942197669,0.1944,-7.619,-9.977,14.038607,0.413967,RR
1156402871953811968,226.04182623331,4.36206874314,0.1184,-7.788,0.393,14.605427,0.710537,RR
1156737364006956544,226.63456954293,5.12763443794,0.165,0.142,-4.467,14.580194,0.475781,RR
1157097900741574784,227.99491455109,6.03882821432,0.2588,-7.903,-13.413,13.694306,0.637939,RR
