source_id,bp_rp,target_class,period
1113929871645836672,1.142703,CEP,35.0087580724327
1208200864738741376,0.564801,CEP,1.16542087171582
1306279466601099904,1.086469,CEP,9.70773532091855
1328057184175359488,0.669813,CEP,1.45911502487245
1328057867076964864,0.786309,CEP,5.11078585850861
1328059413265281920,0.744039,CEP,2.11292032840514
1335461398554969472,1.148664,CEP,18.7029986317531
154255575798532096,2.069331,CEP,39.6343632579684
1596081113587582464,1.146579,CEP,51.317006705761
1659676827481828608,0.860875,CEP,8.13650782953596
1734124248699204096,0.933793,CEP,6.16544389314943
174489098011145216,1.484664,CEP,6.46349195646324
1750217486861133440,0.768388,CEP,2.0469337440707
1765149340099555840,0.873225,CEP,1.64077122111237
1785352625740690432,0.979933,CEP,2.41264675925489
1789512215668452864,0.802337,CEP,1.70863065737362
1808020329279916288,1.259557,CEP,6.1077611298828
1811618408045800832,0.901899,CEP,3.9541108720012
1816085861226864768,0.779455,CEP,1.09177846850506
1820309639468685824,1.091549,CEP,8.38196551736274
1824511899869141120,2.504901,CEP,4.43724220236643
1824960745472142464,1.771841,CEP,2.18082423536966
1825190337236422016,3.032781,CEP,32.0612291900066
1825211056159949440,2.786598,CEP,51.5662251651799
1825428480248517376,2.353423,CEP,5.93870006014575
1825437177598003456,2.521501,CEP,12.8951412975694
1825453635920313472,2.984242,CEP,6.85317846845003
1825559704420479360,2.417907,CEP,6.34262870194585
1825583030353257984,3.103119,CEP,7.794729355103
1825621002188696448,1.808961,CEP,7.99053519152044
1827400527412737920,2.02504,CEP,1.91041598806229
1827508451315817600,2.232607,CEP,4.47823155496149
1827869808377481216,1.965931,CEP,5.1975192152404
1827888951081299584,3.02002,CEP,3.8500525966412
1827892180896495616,2.872429,CEP,6.33244465176888
1828645999179202048,0.894913,CEP,1.71793324170039
1834213582473654144,2.38868,CEP,5.6309863964819
1834795430275435648,2.418525,CEP,13.2047725433365
183814674602852480,2.427905,CEP,4.24802055510383
1852749557493420032,1.249642,CEP,35.1911186864088
1853221080490290304,1.069642,CEP,9.53487053083213
1857884212378132096,0.823561,CEP,4.43574053267385
1862255045980597120,1.80688,CEP,40.123255897408
1870258975238302208,1.368372,CEP,16.3765540345152
1873112207907294848,1.666895,CEP,7.85681467718691
1873250780732545920,2.121063,CEP,20.1337045835581
188724234539584256,1.866883,CEP,18.1937193985641
189726984845700480,1.658173,CEP,5.25989030440086
189739251272296192,1.636177,CEP,3.41271998259488
1944255076986187776,1.147589,CEP,14.7311114216818
195373217573454464,1.320739,CEP,3.85945460294683
1960750328384177408,1.19764,CEP,4.86427885459159
1960981328902089088,1.251175,CEP,5.33172888799848
1964010169902699648,1.276029,CEP,21.5359302719061
1964815429034864128,1.662785,CEP,30.8925738730442
1968971582984827136,2.050472,CEP,5.25766109416186
1977074811892425600,1.039585,CEP,4.32375441193864
1977320277858125824,1.468216,CEP,3.53113731272485
1978741912045050624,1.592094,CEP,5.86389799252921
1980786488264944256,2.69307,CEP,11.9178504711274
1981006115714214912,1.9775,CEP,4.63850235371406
1981367545804985088,1.817865,CEP,4.23682195421978
198681686717279616,1.537227,CEP,2.65960771245392
1993916856117284864,1.558233,CEP,29.1027125776302
1994462866719961216,1.45642,CEP,6.33691374179196
1998384927774603520,1.79676,CEP,4.73492993958175
1999252442448732288,1.74932,CEP,12.1370311744518
200016111582079744,1.49575,CEP,2.12056422013628
2003938801532007808,1.308413,CEP,4.98351133627353
2004036486267748352,1.248826,CEP,5.44536601570161
2005011237689458688,1.56275,CEP,4.47917934724216
2005753545481718912,1.909442,CEP,5.65782376280665
2005911737717923840,1.864556,CEP,7.6498012243581
2006033847910275584,1.756191,CEP,4.36641072245014
2006989121667184384,1.287878,CEP,6.41602024655336
200708636406382720,1.295845,CEP,11.6240075213138
2007201567928631296,1.50366,CEP,10.8862175749439
2007341583859879552,1.568639,CEP,2.60746311885517
2007759089047681280,1.670643,CEP,1.6889054066282
2007997408188526336,1.762552,CEP,7.23241003731836
2008283006328679680,3.159962,CEP,3.69625731243283
200840126828455808,1.981307,CEP,49.6164459043872
2008504454839717120,1.843758,CEP,6.23293282641569
2008548332226448768,2.945257,CEP,4.64744500721642
